[('Armenia', 0.6312310695648193), ('Armenian_dram', 0.5757973790168762), ('hryvnia', 0.5406061410903931)] Armenian_dram
[('Romanian_lei', 0.5364303588867188), ('Austria', 0.4885222613811493), ('Ghana_cedi', 0.48611685633659363)] Euro
[('leva_BGN', 0.5829053521156311), ('leva', 0.5804474949836731), ('hryvnia', 0.5667234659194946)] Bulgarian_lev
[('peso', 0.5276228189468384), ('Chile', 0.5171350240707397), ('Chilean_pesos', 0.5102728605270386)] Chilean_peso
[('renminbi', 0.5732043385505676), ('yuan', 0.5692697763442993), ('yaun', 0.5556905269622803)] Renminbi
[('Colombia', 0.559633731842041), ('peso', 0.5418651103973389), ('FARC', 0.5166175961494446)] Colombian_peso
[('koruna', 0.5317124724388123), ('Romanian_lei', 0.5308173894882202), ('Czech_koruna', 0.5269993543624878)] Czech_koruna
[('Ghana_cedi', 0.6329938173294067), ('Ethiopia', 0.5503233671188354), ('Ugandan_shilling', 0.5281320810317993)] Ethiopian_birr
[('France', 0.4597848653793335), ('Romanian_lei', 0.45868974924087524), ('Ghana_cedi', 0.4566320478916168)] Euro
[('Greece', 0.601507842540741), ('peripheral_eurozone', 0.5401535034179688), ('Hungary_forint', 0.5336164236068726)] Euro
[('forint', 0.6084555387496948), ('Forint', 0.567999541759491), ('Romanian_lei', 0.5450487732887268)] Hungarian_forint
[('Laos', 0.5921282768249512), ('Ghana_cedi', 0.47621583938598633), ('Kon_Tum_province', 0.46759381890296936)] Lao_kip
[('Latvia', 0.572311520576477), ('Ukrainian_hryvnia', 0.5707536935806274), ('hryvnia', 0.5692111253738403)] Euro
[('Libya', 0.6538064479827881), ('Gaddafi_regime', 0.5725963115692139), ('Libyan', 0.5401315689086914)] Libyan_dinar
[('Ringgit', 0.6407506465911865), ('ringgit', 0.5785527229309082), ('RM4', 0.5680655241012573)] Malaysian_ringgit
[('Ghana_cedi', 0.5104598999023438), ('Netherlands', 0.4919549822807312), ('Romanian_lei', 0.4745621979236603)] Euro
[('Ghana_cedi', 0.7798147201538086), ('naira', 0.6563969254493713), ('Nigerian_naira', 0.6075853109359741)] Nigerian_naira
[('Portugal', 0.553191065788269), ('Ghana_cedi', 0.5323971509933472), ('safer_German_Bunds', 0.5276230573654175)] Euro
[('Kuwaiti_dinar', 0.5847122669219971), ('Qatari_riyal', 0.5815272927284241), ('Qatar', 0.5560767650604248)] Qatari_riyal
[('San_Marino', 0.6638959050178528), ('Moto2_Grand_Prix', 0.43928682804107666), ('SAN_MARINO', 0.42589348554611206)] Euro
[('Kuwaiti_dinar', 0.5885331630706787), ('Saudi_Arabia', 0.5510208606719971), ('Saudi_riyal', 0.5454564094543457)] Saudi_riyal
[('Ghana_cedi', 0.5659503936767578), ('Slovenia', 0.5468746423721313), ('Romanian_lei', 0.5434472560882568)] Euro
[('Somalia', 0.7005364894866943), ('Mogadishu', 0.565875768661499), ('Somalia_transitional', 0.5502521991729736)] Somali_shilling
[('peseta', 0.5015003681182861), ('Event_----------------------------------------------------', 0.47537603974342346), ('Spain', 0.46808329224586487)] Euro
[('krona', 0.5318496227264404), ('Romanian_lei', 0.4975014328956604), ('Ghana_cedi', 0.4968701899051666)] Swedish_krona
[('Ghana_cedi', 0.5091066360473633), ('SFr1', 0.5059759616851807), ('Switzerland', 0.5034531354904175)] Swiss_franc
[('Tajikistan', 0.6410300135612488), ('somoni', 0.6307028532028198), ('Tajik', 0.5537083148956299)] Somoni
[('Ghana_cedi', 0.7025473713874817), ('Kenyan_shilling', 0.5654572248458862), ('Tanzanian_shilling', 0.5620261430740356)] Tanzanian_shilling
[('Ghana_cedi', 0.6307695508003235), ('Togo', 0.6059600114822388), ('Togolese', 0.5003910660743713)] CFA_franc
[('Turkish_lira', 0.5549868941307068), ('Turkey', 0.5436017513275146), ('İMKB', 0.5279645323753357)] Turkish_lira
[('hryvnia', 0.6519953012466431), ('ruble', 0.6031732559204102), ('Ukraine', 0.5926923751831055)] Ukrainian_hryvnia
[('Yemen', 0.6178611516952515), ('Yemeni', 0.5389209985733032), ('Kuwaiti_dinar', 0.5197327136993408)] Yemeni_rial
[('Ghana_cedi', 0.7694845199584961), ('kwacha', 0.6322985887527466), ('Zambian_kwacha', 0.6321567296981812)] Zambian_kwacha
[('Argentine_peso', 0.7046701908111572), ('Armenian_dram', 0.6368504166603088), ('Russian_ruble', 0.6119308471679688)] Armenian_dram
[('Argentine_peso', 0.751596212387085), ('Polish_zloty', 0.5904287695884705), ('forint', 0.5850315690040588)] Euro
[('Argentine_peso', 0.7367960214614868), ('Turkish_lira', 0.6333470940589905), ('z_³_oty', 0.614039421081543)] Bulgarian_lev
[('Argentine_peso', 0.8709196448326111), ('Chilean_peso', 0.6611058712005615), ('Peruvian_sol', 0.6526694297790527)] Chilean_peso
[('Argentine_peso', 0.7422918081283569), ('renmimbi', 0.6345489025115967), ('renminbi', 0.6212105751037598)] Renminbi
[('Argentine_peso', 0.8150047063827515), ('Colombian_peso', 0.6189442276954651), ('Peruvian_sol', 0.5982308387756348)] Colombian_peso
[('Argentine_peso', 0.749081015586853), ('Polish_zloty', 0.6709257364273071), ('Poland_zloty', 0.620615541934967)] Czech_koruna
[('Argentine_peso', 0.6919945478439331), ('Ugandan_shilling', 0.6117479205131531), ('Somali_shilling', 0.5802281498908997)] Ethiopian_birr
[('Argentine_peso', 0.7725231647491455), ('franc', 0.5972026586532593), ('Mexican_peso_MXN', 0.5435261130332947)] Euro
[('Argentine_peso', 0.7337552309036255), ('sovereign_debt', 0.5999948978424072), ('Eurozone_periphery', 0.5912200212478638)] Euro
[('Argentine_peso', 0.7495614290237427), ('forint', 0.6882338523864746), ('Polish_zloty', 0.6392636299133301)] Hungarian_forint
